"REGION","ORDER TYPE","SEX","DATE","COUNT"
"East Midlands","All community sentences","Female","2023Q1",192
"East Midlands","All community sentences","Male","2023Q1",955
"East Midlands","All court orders","Female","2023Q1",280
"East Midlands","All court orders","Male","2023Q1",1516
"East Midlands","All court orders and pre-release supervision","Female","2023Q1",365
"East Midlands","All court orders and pre-release supervision","Male","2023Q1",2633
"East Midlands","Committal for breach of post-sentence supervision","Female","2023Q1",4
"East Midlands","Committal for breach of post-sentence supervision","Male","2023Q1",35
"East Midlands","Community order","Female","2023Q1",190
"East Midlands","Community order","Male","2023Q1",951
"East Midlands","Other sentences","Female","2023Q1",88
"East Midlands","Other sentences","Male","2023Q1",561
"East Midlands","Pre-release supervision","Female","2023Q1",85
"East Midlands","Pre-release supervision","Male","2023Q1",1119
"East Midlands","Supervision Default Order","Female","2023Q1",2
"East Midlands","Supervision Default Order","Male","2023Q1",1
"East Midlands","Suspended sentence order with requirements","Female","2023Q1",88
"East Midlands","Suspended sentence order with requirements","Male","2023Q1",561
"East Midlands","Youth Rehabilitation Order","Male","2023Q1",3
"East of England","All community sentences","Female","2023Q1",277
"East of England","All community sentences","Male","2023Q1",1276
"East of England","All court orders","Female","2023Q1",394
"East of England","All court orders","Male","2023Q1",2117
"East of England","All court orders and pre-release supervision","Female","2023Q1",516
"East of England","All court orders and pre-release supervision","Male","2023Q1",3692
"East of England","Committal for breach of post-sentence supervision","Female","2023Q1",11
"East of England","Committal for breach of post-sentence supervision","Male","2023Q1",64
"East of England","Community order","Female","2023Q1",276
"East of England","Community order","Male","2023Q1",1264
"East of England","Other sentences","Female","2023Q1",118
"East of England","Other sentences","Male","2023Q1",841
"East of England","Pre-release supervision","Female","2023Q1",122
"East of England","Pre-release supervision","Male","2023Q1",1577
"East of England","Supervision Default Order","Female","2023Q1",1
"East of England","Supervision Default Order","Male","2023Q1",10
"East of England","Suspended sentence order with requirements","Female","2023Q1",118
"East of England","Suspended sentence order with requirements","Male","2023Q1",841
"East of England","Youth Rehabilitation Order","Male","2023Q1",2
"Greater Manchester","All community sentences","Female","2023Q1",145
"Greater Manchester","All community sentences","Male","2023Q1",763
"Greater Manchester","All court orders","Female","2023Q1",198
"Greater Manchester","All court orders","Male","2023Q1",1227
"Greater Manchester","All court orders and pre-release supervision","Female","2023Q1",257
"Greater Manchester","All court orders and pre-release supervision","Male","2023Q1",2281
"Greater Manchester","Committal for breach of post-sentence supervision","Female","2023Q1",10
"Greater Manchester","Committal for breach of post-sentence supervision","Male","2023Q1",69
"Greater Manchester","Community order","Female","2023Q1",145
"Greater Manchester","Community order","Male","2023Q1",750
"Greater Manchester","Other sentences","Female","2023Q1",53
"Greater Manchester","Other sentences","Male","2023Q1",464
"Greater Manchester","Pre-release supervision","Female","2023Q1",60
"Greater Manchester","Pre-release supervision","Male","2023Q1",1056
"Greater Manchester","Supervision Default Order","Male","2023Q1",4
"Greater Manchester","Suspended sentence order with requirements","Female","2023Q1",53
"Greater Manchester","Suspended sentence order with requirements","Male","2023Q1",464
"Greater Manchester","Youth Rehabilitation Order","Male","2023Q1",9
"Kent, Surrey and Sussex","All community sentences","Female","2023Q1",198
"Kent, Surrey and Sussex","All community sentences","Male","2023Q1",871
"Kent, Surrey and Sussex","All court orders","Female","2023Q1",257
"Kent, Surrey and Sussex","All court orders","Male","2023Q1",1308
"Kent, Surrey and Sussex","All court orders and pre-release supervision","Female","2023Q1",315
"Kent, Surrey and Sussex","All court orders and pre-release supervision","Male","2023Q1",2162
"Kent, Surrey and Sussex","Committal for breach of post-sentence supervision","Female","2023Q1",2
"Kent, Surrey and Sussex","Committal for breach of post-sentence supervision","Male","2023Q1",21
"Kent, Surrey and Sussex","Community order","Female","2023Q1",198
"Kent, Surrey and Sussex","Community order","Male","2023Q1",870
"Kent, Surrey and Sussex","Other sentences","Female","2023Q1",59
"Kent, Surrey and Sussex","Other sentences","Male","2023Q1",437
"Kent, Surrey and Sussex","Pre-release supervision","Female","2023Q1",58
"Kent, Surrey and Sussex","Pre-release supervision","Male","2023Q1",854
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Female","2023Q1",59
"Kent, Surrey and Sussex","Suspended sentence order with requirements","Male","2023Q1",437
"Kent, Surrey and Sussex","Youth Rehabilitation Order","Male","2023Q1",1
"London","All community sentences","Female","2023Q1",272
"London","All community sentences","Male","2023Q1",1637
"London","All court orders","Female","2023Q1",380
"London","All court orders","Male","2023Q1",2800
"London","All court orders and pre-release supervision","Female","2023Q1",504
"London","All court orders and pre-release supervision","Male","2023Q1",4990
"London","Committal for breach of post-sentence supervision","Female","2023Q1",6
"London","Committal for breach of post-sentence supervision","Male","2023Q1",11
"London","Community order","Female","2023Q1",271
"London","Community order","Male","2023Q1",1617
"London","Other sentences","Female","2023Q1",108
"London","Other sentences","Male","2023Q1",1163
"London","Pre-release supervision","Female","2023Q1",124
"London","Pre-release supervision","Male","2023Q1",2192
"London","Supervision Default Order","Male","2023Q1",7
"London","Suspended sentence order with requirements","Female","2023Q1",108
"London","Suspended sentence order with requirements","Male","2023Q1",1163
"London","Youth Rehabilitation Order","Female","2023Q1",1
"London","Youth Rehabilitation Order","Male","2023Q1",13
"National Security Division","All community sentences","Male","2023Q1",1
"National Security Division","All court orders","Male","2023Q1",1
"National Security Division","All court orders and pre-release supervision","Male","2023Q1",5
"National Security Division","Committal for breach of post-sentence supervision","Male","2023Q1",2
"National Security Division","Community order","Male","2023Q1",1
"National Security Division","Pre-release supervision","Male","2023Q1",4
"North East","All community sentences","Female","2023Q1",185
"North East","All community sentences","Male","2023Q1",801
"North East","All court orders","Female","2023Q1",240
"North East","All court orders","Male","2023Q1",1225
"North East","All court orders and pre-release supervision","Female","2023Q1",312
"North East","All court orders and pre-release supervision","Male","2023Q1",2072
"North East","Committal for breach of post-sentence supervision","Female","2023Q1",8
"North East","Committal for breach of post-sentence supervision","Male","2023Q1",34
"North East","Community order","Female","2023Q1",184
"North East","Community order","Male","2023Q1",798
"North East","Other sentences","Female","2023Q1",55
"North East","Other sentences","Male","2023Q1",424
"North East","Pre-release supervision","Female","2023Q1",72
"North East","Pre-release supervision","Male","2023Q1",847
"North East","Supervision Default Order","Female","2023Q1",1
"North East","Supervision Default Order","Male","2023Q1",3
"North East","Suspended sentence order with requirements","Female","2023Q1",55
"North East","Suspended sentence order with requirements","Male","2023Q1",424
"North West","All community sentences","Female","2023Q1",355
"North West","All community sentences","Male","2023Q1",1435
"North West","All court orders","Female","2023Q1",495
"North West","All court orders","Male","2023Q1",2255
"North West","All court orders and pre-release supervision","Female","2023Q1",622
"North West","All court orders and pre-release supervision","Male","2023Q1",3997
"North West","Committal for breach of post-sentence supervision","Female","2023Q1",8
"North West","Committal for breach of post-sentence supervision","Male","2023Q1",75
"North West","Community order","Female","2023Q1",352
"North West","Community order","Male","2023Q1",1411
"North West","Other sentences","Female","2023Q1",140
"North West","Other sentences","Male","2023Q1",820
"North West","Pre-release supervision","Female","2023Q1",127
"North West","Pre-release supervision","Male","2023Q1",1744
"North West","Supervision Default Order","Female","2023Q1",3
"North West","Supervision Default Order","Male","2023Q1",21
"North West","Suspended sentence order with requirements","Female","2023Q1",140
"North West","Suspended sentence order with requirements","Male","2023Q1",820
"North West","Youth Rehabilitation Order","Male","2023Q1",3
"Other","All court orders and pre-release supervision","Male","2023Q1",1
"Other","Pre-release supervision","Male","2023Q1",1
"South Central","All community sentences","Female","2023Q1",151
"South Central","All community sentences","Male","2023Q1",924
"South Central","All court orders","Female","2023Q1",201
"South Central","All court orders","Male","2023Q1",1366
"South Central","All court orders and pre-release supervision","Female","2023Q1",256
"South Central","All court orders and pre-release supervision","Male","2023Q1",2223
"South Central","Committal for breach of post-sentence supervision","Female","2023Q1",2
"South Central","Committal for breach of post-sentence supervision","Male","2023Q1",22
"South Central","Community order","Female","2023Q1",151
"South Central","Community order","Male","2023Q1",921
"South Central","Other sentences","Female","2023Q1",50
"South Central","Other sentences","Male","2023Q1",442
"South Central","Pre-release supervision","Female","2023Q1",55
"South Central","Pre-release supervision","Male","2023Q1",859
"South Central","Supervision Default Order","Male","2023Q1",1
"South Central","Suspended sentence order with requirements","Female","2023Q1",50
"South Central","Suspended sentence order with requirements","Male","2023Q1",442
"South Central","Youth Rehabilitation Order","Male","2023Q1",2
"South West","All community sentences","Female","2023Q1",222
"South West","All community sentences","Male","2023Q1",1161
"South West","All court orders","Female","2023Q1",305
"South West","All court orders","Male","2023Q1",1621
"South West","All court orders and pre-release supervision","Female","2023Q1",367
"South West","All court orders and pre-release supervision","Male","2023Q1",2453
"South West","Committal for breach of post-sentence supervision","Female","2023Q1",6
"South West","Committal for breach of post-sentence supervision","Male","2023Q1",39
"South West","Community order","Female","2023Q1",222
"South West","Community order","Male","2023Q1",1149
"South West","Other sentences","Female","2023Q1",83
"South West","Other sentences","Male","2023Q1",460
"South West","Pre-release supervision","Female","2023Q1",63
"South West","Pre-release supervision","Male","2023Q1",833
"South West","Supervision Default Order","Male","2023Q1",10
"South West","Suspended sentence order with requirements","Female","2023Q1",83
"South West","Suspended sentence order with requirements","Male","2023Q1",460
"South West","Youth Rehabilitation Order","Male","2023Q1",3
"Wales","All community sentences","Female","2023Q1",182
"Wales","All community sentences","Male","2023Q1",765
"Wales","All court orders","Female","2023Q1",267
"Wales","All court orders","Male","2023Q1",1285
"Wales","All court orders and pre-release supervision","Female","2023Q1",373
"Wales","All court orders and pre-release supervision","Male","2023Q1",2356
"Wales","Committal for breach of post-sentence supervision","Female","2023Q1",11
"Wales","Committal for breach of post-sentence supervision","Male","2023Q1",67
"Wales","Community order","Female","2023Q1",179
"Wales","Community order","Male","2023Q1",753
"Wales","Other sentences","Female","2023Q1",85
"Wales","Other sentences","Male","2023Q1",520
"Wales","Pre-release supervision","Female","2023Q1",106
"Wales","Pre-release supervision","Male","2023Q1",1071
"Wales","Supervision Default Order","Female","2023Q1",3
"Wales","Supervision Default Order","Male","2023Q1",10
"Wales","Suspended sentence order with requirements","Female","2023Q1",85
"Wales","Suspended sentence order with requirements","Male","2023Q1",520
"Wales","Youth Rehabilitation Order","Male","2023Q1",2
"West Midlands","All community sentences","Female","2023Q1",250
"West Midlands","All community sentences","Male","2023Q1",1105
"West Midlands","All court orders","Female","2023Q1",361
"West Midlands","All court orders","Male","2023Q1",1745
"West Midlands","All court orders and pre-release supervision","Female","2023Q1",442
"West Midlands","All court orders and pre-release supervision","Male","2023Q1",3260
"West Midlands","Committal for breach of post-sentence supervision","Female","2023Q1",1
"West Midlands","Committal for breach of post-sentence supervision","Male","2023Q1",31
"West Midlands","Community order","Female","2023Q1",250
"West Midlands","Community order","Male","2023Q1",1095
"West Midlands","Other sentences","Female","2023Q1",111
"West Midlands","Other sentences","Male","2023Q1",641
"West Midlands","Pre-release supervision","Female","2023Q1",81
"West Midlands","Pre-release supervision","Male","2023Q1",1515
"West Midlands","Supervision Default Order","Male","2023Q1",7
"West Midlands","Suspended sentence order with requirements","Female","2023Q1",111
"West Midlands","Suspended sentence order with requirements","Male","2023Q1",641
"West Midlands","Youth Rehabilitation Order","Male","2023Q1",3
"Yorkshire and the Humber","All community sentences","Female","2023Q1",320
"Yorkshire and the Humber","All community sentences","Male","2023Q1",1500
"Yorkshire and the Humber","All court orders","Female","2023Q1",434
"Yorkshire and the Humber","All court orders","Male","2023Q1",2226
"Yorkshire and the Humber","All court orders and pre-release supervision","Female","2023Q1",578
"Yorkshire and the Humber","All court orders and pre-release supervision","Male","2023Q1",4010
"Yorkshire and the Humber","Committal for breach of post-sentence supervision","Female","2023Q1",4
"Yorkshire and the Humber","Committal for breach of post-sentence supervision","Male","2023Q1",41
"Yorkshire and the Humber","Community order","Female","2023Q1",320
"Yorkshire and the Humber","Community order","Male","2023Q1",1491
"Yorkshire and the Humber","Other sentences","Female","2023Q1",114
"Yorkshire and the Humber","Other sentences","Male","2023Q1",727
"Yorkshire and the Humber","Pre-release supervision","Female","2023Q1",145
"Yorkshire and the Humber","Pre-release supervision","Male","2023Q1",1784
"Yorkshire and the Humber","Supervision Default Order","Male","2023Q1",9
"Yorkshire and the Humber","Suspended sentence order with requirements","Female","2023Q1",114
"Yorkshire and the Humber","Suspended sentence order with requirements","Male","2023Q1",727
"Yorkshire and the Humber","Youth Rehabilitation Order","Male","2023Q1",1
